state,zipcode,taxRegionName,stateRate,estimatedCombinedRate,estimatedCountyRate,estimatedCityRate,estimatedSpecialRate,riskLevel
NY,00501,"SUFFOLK COUNTY",0.04,0.08625,0.0425,0,0.00375,1
PR,00601,"ADJUNTAS CO",0.105,0.115,0.01,0,0,1
PR,00602,"AGUADA CO",0.105,0.115,0.01,0,0,1
PR,00603,"AGUADILLA CO",0.105,0.115,0.01,0,0,1
PR,00604,"AGUADILLA CO",0.105,0.115,0.01,0,0,1
PR,00605,"AGUADILLA CO",0.105,0.115,0.01,0,0,1
PR,00606,"MARICAO CO",0.105,0.115,0.01,0,0,1
PR,00610,"ANASCO CO",0.105,0.115,0.01,0,0,1
PR,00611,"UTUADO CO",0.105,0.115,0.01,0,0,1
PR,00612,"ARECIBO CO",0.105,0.115,0.01,0,0,1
PR,00613,"ARECIBO CO",0.105,0.115,0.01,0,0,1
PR,00614,"ARECIBO CO",0.105,0.115,0.01,0,0,1
PR,00616,"ARECIBO CO",0.105,0.115,0.01,0,0,1
PR,00617,"BARCELONETA CO",0.105,0.115,0.01,0,0,1
PR,00622,"CABO ROJO CO",0.105,0.115,0.01,0,0,1
PR,00623,"CABO ROJO CO",0.105,0.115,0.01,0,0,1
PR,00624,"PENUELAS CO",0.105,0.115,0.01,0,0,1
PR,00627,"CAMUY CO",0.105,0.115,0.01,0,0,1
PR,00631,"ADJUNTAS CO",0.105,0.115,0.01,0,0,1
PR,00636,"MAYAGUEZ CO",0.105,0.115,0.01,0,0,1
PR,00637,"SABANA GRANDE CO",0.105,0.115,0.01,0,0,1
PR,00638,"CIALES CO",0.105,0.115,0.01,0,0,1
PR,00641,"UTUADO CO",0.105,0.115,0.01,0,0,1
PR,00646,"DORADO CO",0.105,0.115,0.01,0,0,1
PR,00647,"GUANICA CO",0.105,0.115,0.01,0,0,1
PR,00650,"FLORIDA CO",0.105,0.115,0.01,0,0,1
PR,00652,"ARECIBO CO",0.105,0.115,0.01,0,0,1
PR,00653,"GUANICA CO",0.105,0.115,0.01,0,0,1
PR,00656,"GUAYANILLA CO",0.105,0.115,0.01,0,0,1
PR,00659,"HATILLO CO",0.105,0.115,0.01,0,0,1
PR,00660,"HORMIGUEROS CO",0.105,0.115,0.01,0,0,1
PR,00662,"ISABELA CO",0.105,0.115,0.01,0,0,1
PR,00664,"JAYUYA CO",0.105,0.115,0.01,0,0,1
PR,00667,"LAJAS CO",0.105,0.115,0.01,0,0,1
PR,00669,"LARES CO",0.105,0.115,0.01,0,0,1
PR,00670,"LAS MARIAS CO",0.105,0.115,0.01,0,0,1
PR,00674,"MANATI CO",0.105,0.115,0.01,0,0,1
PR,00676,"MOCA CO",0.105,0.115,0.01,0,0,1
PR,00677,"RINCON CO",0.105,0.115,0.01,0,0,1
PR,00678,"QUEBRADILLAS CO",0.105,0.115,0.01,0,0,1
PR,00680,"MAYAGUEZ CO",0.105,0.115,0.01,0,0,1
PR,00681,"MAYAGUEZ CO",0.105,0.115,0.01,0,0,1
PR,00682,"MAYAGUEZ CO",0.105,0.115,0.01,0,0,1
PR,00683,"SAN GERMAN CO",0.105,0.115,0.01,0,0,1
PR,00685,"SAN SEBASTIAN CO",0.105,0.115,0.01,0,0,1
PR,00687,"MOROVIS CO",0.105,0.115,0.01,0,0,1
PR,00688,"ARECIBO CO",0.105,0.115,0.01,0,0,1
PR,00690,"AGUADILLA CO",0.105,0.115,0.01,0,0,1
PR,00692,"VEGA ALTA CO",0.105,0.115,0.01,0,0,1
PR,00693,"VEGA BAJA CO",0.105,0.115,0.01,0,0,1
PR,00694,"VEGA BAJA CO",0.105,0.115,0.01,0,0,1
PR,00698,"YAUCO CO",0.105,0.115,0.01,0,0,1
PR,00703,"AGUAS BUENAS CO",0.105,0.115,0.01,0,0,1
PR,00704,"SALINAS CO",0.105,0.115,0.01,0,0,1
PR,00705,"AIBONITO CO",0.105,0.115,0.01,0,0,1
PR,00707,"MAUNABO CO",0.105,0.115,0.01,0,0,1
PR,00714,"ARROYO CO",0.105,0.115,0.01,0,0,1
PR,00715,"PONCE CO",0.105,0.115,0.01,0,0,1
PR,00716,"PONCE CO",0.105,0.115,0.01,0,0,1
PR,00717,"PONCE CO",0.105,0.115,0.01,0,0,1
PR,00718,"NAGUABO CO",0.105,0.115,0.01,0,0,1
PR,00719,"NARANJITO CO",0.105,0.115,0.01,0,0,1
PR,00720,"OROCOVIS CO",0.105,0.115,0.01,0,0,1
PR,00721,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00723,"PATILLAS CO",0.105,0.115,0.01,0,0,1
PR,00725,"CAGUAS CO",0.105,0.115,0.01,0,0,1
PR,00726,"CAGUAS CO",0.105,0.115,0.01,0,0,1
PR,00727,"CAGUAS CO",0.105,0.115,0.01,0,0,1
PR,00728,"PONCE CO",0.105,0.115,0.01,0,0,1
PR,00729,"CANOVANAS CO",0.105,0.115,0.01,0,0,1
PR,00730,"PONCE CO",0.105,0.115,0.01,0,0,1
PR,00731,"PUERTO RICO",0.105,0.105,0,0,0,1
PR,00732,"PONCE CO",0.105,0.115,0.01,0,0,1
PR,00733,"PONCE CO",0.105,0.115,0.01,0,0,1
PR,00735,"CEIBA CO",0.105,0.115,0.01,0,0,1
PR,00736,"CAYEY CO",0.105,0.115,0.01,0,0,1
PR,00737,"CAYEY CO",0.105,0.115,0.01,0,0,1
PR,00738,"FAJARDO CO",0.105,0.115,0.01,0,0,1
PR,00739,"CIDRA CO",0.105,0.115,0.01,0,0,1
PR,00740,"FAJARDO CO",0.105,0.115,0.01,0,0,1
PR,00741,"HUMACAO CO",0.105,0.115,0.01,0,0,1
PR,00742,"PUERTO RICO",0.105,0.105,0,0,0,1
PR,00744,"NAGUABO CO",0.105,0.115,0.01,0,0,1
PR,00745,"RIO GRANDE CO",0.105,0.115,0.01,0,0,1
PR,00751,"SALINAS CO",0.105,0.115,0.01,0,0,1
PR,00754,"SAN LORENZO CO",0.105,0.115,0.01,0,0,1
PR,00757,"SANTA ISABEL CO",0.105,0.115,0.01,0,0,1
PR,00765,"VIEQUES CO",0.105,0.115,0.01,0,0,1
PR,00766,"VILLALBA CO",0.105,0.115,0.01,0,0,1
PR,00767,"YABUCOA CO",0.105,0.115,0.01,0,0,1
PR,00769,"COAMO CO",0.105,0.115,0.01,0,0,1
PR,00771,"LAS PIEDRAS CO",0.105,0.115,0.01,0,0,1
PR,00772,"LOIZA CO",0.105,0.115,0.01,0,0,1
PR,00773,"LUQUILLO CO",0.105,0.115,0.01,0,0,1
PR,00775,"CULEBRA CO",0.105,0.115,0.01,0,0,1
PR,00777,"JUNCOS CO",0.105,0.115,0.01,0,0,1
PR,00778,"GURABO CO",0.105,0.115,0.01,0,0,1
PR,00780,"PONCE CO",0.105,0.115,0.01,0,0,1
PR,00782,"COMERIO CO",0.105,0.115,0.01,0,0,1
PR,00783,"COROZAL CO",0.105,0.115,0.01,0,0,1
PR,00784,"GUAYAMA CO",0.105,0.115,0.01,0,0,1
PR,00785,"GUAYAMA CO",0.105,0.115,0.01,0,0,1
PR,00786,"PUERTO RICO",0.105,0.105,0,0,0,1
PR,00791,"HUMACAO CO",0.105,0.115,0.01,0,0,1
PR,00792,"HUMACAO CO",0.105,0.115,0.01,0,0,1
PR,00794,"BARRANQUITAS CO",0.105,0.115,0.01,0,0,1
PR,00795,"JUANA DIAZ CO",0.105,0.115,0.01,0,0,1
PR,00901,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00902,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00905,"PUERTO RICO",0.105,0.105,0,0,0,1
PR,00906,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00907,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00908,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00909,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00910,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00911,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00912,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00913,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00914,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00915,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00916,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00917,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00918,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00919,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00920,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00921,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00922,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00923,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00924,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00925,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00926,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00927,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00928,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
PR,00929,"SAN JUAN CO",0.105,0.115,0.01,0,0,1
